,system_id,file_name,run_time,data_requirements,mean_absolute_error_time_series,data_sampling_frequency,issue
0,4,4_ac_power__315_full_DST.csv,36.417848348617554,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",11.981205951448707,15,Full DST
1,4,4_ac_power__315_30min_wrong_timezone.csv,18.03521180152893,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,Wrong Timezone
2,4,4_ac_power__315_60min_wrong_timezone.csv,10.219050407409668,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,60,Wrong Timezone
3,4,4_ac_power__315_60min.csv,10.2231764793396,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,60,No Issue
4,4,4_ac_power__315_30min.csv,18.94883108139038,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,No Issue
5,4,4_ac_power__315_15min.csv,31.129875898361206,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,No Issue
6,4,4_ac_power__315_15min_full_DST.csv,31.580842971801758,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",11.981205951448707,15,Full DST
7,50,50_ac_power_wrong_timezone.csv,408.5517942905426,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,1,Wrong Timezone
8,50,50_ac_power_1_random_time_shifts.csv,371.49825406074524,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.4838709677419355,1,Random Time Shifts
9,50,50_ac_power_15min_wrong_timezone.csv,26.458285331726074,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,Wrong Timezone
10,50,50_ac_power_1_15min_random_time_shifts.csv,23.055137634277344,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",2.555443548387097,15,Random Time Shifts
11,50,50_ac_power_1_30min_wrong_timezone.csv,9.767218589782715,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,Wrong Timezone
12,50,50_ac_power_1_60min_wrong_timezone.csv,7.712303161621094,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",13.941532258064516,60,Wrong Timezone
13,50,50_ac_power_2_full_DST.csv,411.6130156517029,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.6048387096774194,1,Full DST
14,50,50_ac_power_30min.csv,10.528113842010498,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,No Issue
15,50,50_ac_power_2_30min_random_time_shifts.csv,9.33000659942627,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",15.423387096774194,30,Random Time Shifts
16,50,50_ac_power_2_15min_wrong_timezone.csv,23.886648178100586,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,Wrong Timezone
17,50,50_ac_power_30min_wrong_timezone.csv,13.87597942352295,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,Wrong Timezone
18,50,50_ac_power.csv,348.6959400177002,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,1,No Issue
19,50,50_ac_power_1.csv,344.8544075489044,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,1,No Issue
20,50,50_ac_power_15min.csv,21.28752064704895,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,No Issue
21,50,50_ac_power_1_15min.csv,20.840614318847656,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,No Issue
22,50,50_ac_power_1_30min.csv,12.457207202911377,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,No Issue
23,50,50_ac_power_1_60min.csv,6.285996675491333,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",13.941532258064516,60,No Issue
24,50,50_ac_power_2.csv,448.7007393836975,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,1,No Issue
25,50,50_ac_power_2_15min.csv,52.74507212638855,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,No Issue
26,50,50_ac_power_2_30min.csv,28.522862672805786,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",15.0,30,No Issue
27,50,50_ac_power_2_60min.csv,14.212299108505249,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",13.941532258064516,60,No Issue
28,50,50_ac_power_2_60min_random_time_shifts.csv,20.003239631652832,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",15.211693548387096,60,Random Time Shifts
29,50,50_ac_power_60min_random_time_shifts.csv,15.606981039047241,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",12.883064516129032,60,Random Time Shifts
30,50,50_ac_power_60min.csv,13.44467568397522,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",13.941532258064516,60,No Issue
31,1229,1229_poa_irradiance_west_array_60min.csv,18.006192684173584,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,60,No Issue
32,1229,1229_gh_irradiance_15min.csv,62.75973129272461,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,No Issue
33,1229,1229_gh_irradiance_30min.csv,36.643842697143555,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,No Issue
34,1229,1229_gh_irradiance_60min.csv,21.340290307998657,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,60,No Issue
35,1229,1229_poa_irradiance_15min.csv,55.13626194000244,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,No Issue
36,1229,1229_poa_irradiance_30min.csv,23.97901153564453,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,No Issue
37,1229,1229_poa_irradiance_60min.csv,13.065289735794067,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,60,No Issue
38,1229,1229_poa_irradiance_south_array_15min.csv,44.3490424156189,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,No Issue
39,1229,1229_poa_irradiance_south_array_30min.csv,23.744961261749268,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,No Issue
40,1229,1229_poa_irradiance_south_array_60min.csv,15.981892347335815,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,60,No Issue
41,1229,1229_poa_irradiance_west_array_15min.csv,50.4371018409729,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,No Issue
42,1229,1229_poa_irradiance_west_array_30min.csv,21.48188543319702,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,No Issue
43,1229,1229_poa_irradiance_west_array_30min_partial_DST.csv,26.210114240646362,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.18532818532818532,30,Partial DST
44,1229,1229_poa_irradiance_west_array_15min_wrong_timezone.csv,51.2076952457428,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,Wrong Timezone
45,1229,1229_poa_irradiance_south_array_60min_wrong_timezone.csv,16.22228717803955,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,60,Wrong Timezone
46,1229,1229_poa_irradiance_south_array_30min_random_time_shifts.csv,25.43772268295288,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,Random Time Shifts
47,1229,1229_poa_irradiance_south_array_15min_random_time_shifts.csv,55.07992625236511,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.011583011583011582,15,Random Time Shifts
48,1229,1229_poa_irradiance_south_array_full_DST.csv,54.60927391052246,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.37065637065637064,15,Full DST
49,1229,1229_poa_irradiance_60min_wrong_timezone.csv,15.880443811416626,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,60,Wrong Timezone
50,1229,1229_poa_irradiance_30min_wrong_timezone.csv,26.2710702419281,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,Wrong Timezone
51,1229,1229_poa_irradiance_15min_random_time_shifts.csv,39.37988543510437,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.18532818532818532,15,Random Time Shifts
52,1229,1229_poa_irradiance_random_time_shifts.csv,39.721118688583374,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.011583011583011582,15,Random Time Shifts
53,1229,1229_gh_irradiance_60min_random_time_shifts.csv,12.523155689239502,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.277992277992278,60,Random Time Shifts
54,1229,1229_gh_irradiance_30min_random_time_shifts.csv,24.76369881629944,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.44015444015444016,30,Random Time Shifts
55,1229,1229_gh_irradiance_15min_random_time_shifts.csv,41.26914572715759,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.05791505791505792,15,Random Time Shifts
56,1229,1229_poa_irradiance_west_array_full_DST.csv,44.592097759246826,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.138996138996139,15,Full DST
57,1229,1229_poa_irradiance_west_array_60min_random_time_shifts.csv,12.570943593978882,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",11.328185328185327,60,Random Time Shifts
58,1229,1229_gh_irradiance_random_time_shifts.csv,44.348517656326294,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.09266409266409266,15,Random Time Shifts
59,1332,1332_inv3_ac_power__2650_15min.csv,20.450513124465942,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,No Issue
60,1332,1332_inv3_ac_power__2650_15min.csv,20.450513124465942,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,No Issue
61,1332,1332_inv3_ac_power__2650_15min.csv,19.453051328659058,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,No Issue
62,1332,1332_inv3_ac_power__2650_15min.csv,19.453051328659058,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,No Issue
63,1332,1332_inv_total_ac_power__2654_30min.csv,9.50999641418457,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,No Issue
64,1332,1332_inv_total_ac_power__2654_30min.csv,9.50999641418457,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,No Issue
65,1332,1332_inv_total_ac_power__2654_30min.csv,9.575424909591675,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,No Issue
66,1332,1332_inv_total_ac_power__2654_30min.csv,9.575424909591675,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,No Issue
67,1332,1332_inv_total_ac_power__2654_15min.csv,17.5021653175354,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,No Issue
68,1332,1332_inv_total_ac_power__2654_15min.csv,17.5021653175354,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,No Issue
69,1332,1332_inv_total_ac_power__2654_15min.csv,18.584660530090332,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,No Issue
70,1332,1332_inv_total_ac_power__2654_15min.csv,18.584660530090332,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,No Issue
71,1332,1332_inv3_ac_power__2650_60min.csv,5.890956163406372,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",15.0,60,No Issue
72,1332,1332_inv3_ac_power__2650_60min.csv,5.890956163406372,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",15.0,60,No Issue
73,1332,1332_inv3_ac_power__2650_60min.csv,5.169487714767456,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",15.0,60,No Issue
74,1332,1332_inv3_ac_power__2650_60min.csv,5.169487714767456,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",15.0,60,No Issue
75,1332,1332_inv2_ac_power__2646_60min.csv,10.643221855163574,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,60,No Issue
76,1332,1332_inv2_ac_power__2646_60min.csv,10.643221855163574,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,60,No Issue
77,1332,1332_inv2_ac_power__2646_60min.csv,9.77955174446106,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,60,No Issue
78,1332,1332_inv2_ac_power__2646_60min.csv,9.77955174446106,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,60,No Issue
79,1332,1332_inv3_ac_power__2650_30min.csv,9.321442127227783,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,No Issue
80,1332,1332_inv3_ac_power__2650_30min.csv,9.321442127227783,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,No Issue
81,1332,1332_inv3_ac_power__2650_30min.csv,8.98558235168457,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,No Issue
82,1332,1332_inv3_ac_power__2650_30min.csv,8.98558235168457,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,No Issue
83,1332,1332_inv2_ac_power__2646_partial_DST.csv,29.847739458084106,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",1.457680250783699,15,Partial DST
84,1332,1332_inv2_ac_power__2646_partial_DST.csv,29.847739458084106,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",1.457680250783699,15,Partial DST
85,1332,1332_inv2_ac_power__2646_partial_DST.csv,30.038100957870483,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",1.457680250783699,15,Partial DST
86,1332,1332_inv2_ac_power__2646_partial_DST.csv,30.038100957870483,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",1.457680250783699,15,Partial DST
87,1332,1332_inv2_ac_power__2646_15min_full_DST.csv,29.893580198287964,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.4702194357366771,15,Full DST
88,1332,1332_inv2_ac_power__2646_15min_full_DST.csv,29.893580198287964,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.4702194357366771,15,Full DST
89,1332,1332_inv2_ac_power__2646_15min_full_DST.csv,30.970849990844727,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.4702194357366771,15,Full DST
90,1332,1332_inv2_ac_power__2646_15min_full_DST.csv,30.970849990844727,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.4702194357366771,15,Full DST
91,1332,1332_inv2_ac_power__2646_30min_wrong_timezone.csv,17.316962480545044,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,Wrong Timezone
92,1332,1332_inv2_ac_power__2646_30min_wrong_timezone.csv,17.316962480545044,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,Wrong Timezone
93,1332,1332_inv2_ac_power__2646_30min_wrong_timezone.csv,14.985536575317383,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,Wrong Timezone
94,1332,1332_inv2_ac_power__2646_30min_wrong_timezone.csv,14.985536575317383,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,Wrong Timezone
95,1332,1332_inv2_ac_power__2646_60min_wrong_timezone.csv,9.155675172805786,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,60,Wrong Timezone
96,1332,1332_inv2_ac_power__2646_60min_wrong_timezone.csv,9.155675172805786,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,60,Wrong Timezone
97,1332,1332_inv2_ac_power__2646_60min_wrong_timezone.csv,8.918974161148071,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,60,Wrong Timezone
98,1332,1332_inv2_ac_power__2646_60min_wrong_timezone.csv,8.918974161148071,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,60,Wrong Timezone
99,1332,1332_inv3_ac_power__2650_random_time_shifts.csv,16.723313808441162,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.32085561497326204,15,Random Time Shifts
100,1332,1332_inv3_ac_power__2650_random_time_shifts.csv,16.723313808441162,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.32085561497326204,15,Random Time Shifts
