,system_id,file_name,run_time,data_requirements,mean_absolute_error_time_series,data_sampling_frequency,issue
0,4,4_ac_power__315_full_DST.csv,43.131714820861816,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",11.981205951448707,15,Full DST
1,4,4_ac_power__315_30min_wrong_timezone.csv,21.339045524597168,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,Wrong Timezone
2,4,4_ac_power__315_60min_wrong_timezone.csv,12.286386251449585,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,60,Wrong Timezone
3,4,4_ac_power__315_60min.csv,18.16911220550537,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,60,No Issue
4,4,4_ac_power__315_30min.csv,21.68332290649414,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,No Issue
5,4,4_ac_power__315_15min.csv,40.56131839752197,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,No Issue
6,4,4_ac_power__315_15min_full_DST.csv,39.251957416534424,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",11.981205951448707,15,Full DST
7,50,50_ac_power_wrong_timezone.csv,466.54888129234314,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,1,Wrong Timezone
8,50,50_ac_power_1_random_time_shifts.csv,465.28292322158813,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.4838709677419355,1,Random Time Shifts
9,50,50_ac_power_15min_wrong_timezone.csv,29.609864234924316,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,Wrong Timezone
10,50,50_ac_power_1_15min_random_time_shifts.csv,25.847919702529907,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",2.555443548387097,15,Random Time Shifts
11,50,50_ac_power_1_30min_wrong_timezone.csv,14.555633068084717,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,Wrong Timezone
12,50,50_ac_power_1_60min_wrong_timezone.csv,8.735718488693237,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",13.941532258064516,60,Wrong Timezone
13,50,50_ac_power_2_full_DST.csv,559.1163897514343,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.6048387096774194,1,Full DST
14,50,50_ac_power_30min.csv,16.766238927841187,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,No Issue
15,50,50_ac_power_2_30min_random_time_shifts.csv,17.78877305984497,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",15.423387096774194,30,Random Time Shifts
16,50,50_ac_power_2_15min_wrong_timezone.csv,37.54592728614807,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,Wrong Timezone
17,50,50_ac_power_30min_wrong_timezone.csv,18.23801350593567,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,Wrong Timezone
18,50,50_ac_power.csv,500.0403046607971,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,1,No Issue
19,50,50_ac_power_1.csv,513.4839479923248,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,1,No Issue
20,50,50_ac_power_15min.csv,37.770044803619385,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,No Issue
