,system_id,file_name,run_time,data_requirements,mean_absolute_error_time_series,data_sampling_frequency,issue
0,4,4_ac_power__315_full_DST.csv,34.90727496147156,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",12.075176194205168,15,Full DST
1,4,4_ac_power__315_30min_wrong_timezone.csv,21.706873655319214,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,Wrong Timezone
2,4,4_ac_power__315_60min_wrong_timezone.csv,12.961978197097778,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,60,Wrong Timezone
3,4,4_ac_power__315_60min.csv,8.706212282180786,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,60,No Issue
4,4,4_ac_power__315_30min.csv,20.87249493598938,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,No Issue
5,4,4_ac_power__315_15min.csv,51.23320746421814,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,No Issue
6,4,4_ac_power__315_15min_full_DST.csv,39.87471890449524,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",12.075176194205168,15,Full DST
7,50,50_ac_power_wrong_timezone.csv,470.50916957855225,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,1,Wrong Timezone
8,50,50_ac_power_1_random_time_shifts.csv,470.3852791786194,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.3629032258064516,1,Random Time Shifts
9,50,50_ac_power_15min_wrong_timezone.csv,25.348291397094727,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,Wrong Timezone
10,50,50_ac_power_1_15min_random_time_shifts.csv,29.842859029769897,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",2.3588709677419355,15,Random Time Shifts
11,50,50_ac_power_1_30min_wrong_timezone.csv,12.436638832092285,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,Wrong Timezone
12,50,50_ac_power_1_60min_wrong_timezone.csv,7.088029623031616,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",13.941532258064516,60,Wrong Timezone
13,50,50_ac_power_2_full_DST.csv,551.6944043636322,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.6048387096774194,1,Full DST
14,50,50_ac_power_30min.csv,19.68176817893982,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,No Issue
15,50,50_ac_power_2_30min_random_time_shifts.csv,19.21680498123169,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",15.423387096774194,30,Random Time Shifts
16,50,50_ac_power_2_15min_wrong_timezone.csv,32.974079847335815,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,Wrong Timezone
17,50,50_ac_power_30min_wrong_timezone.csv,20.471663236618042,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,Wrong Timezone
18,50,50_ac_power.csv,505.6583662033081,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,1,No Issue
19,50,50_ac_power_1.csv,496.39406847953796,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,1,No Issue
20,50,50_ac_power_15min.csv,40.655024766922,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,No Issue
21,50,50_ac_power_1_15min.csv,38.98139786720276,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,No Issue
22,50,50_ac_power_1_30min.csv,18.4488627910614,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,No Issue
23,50,50_ac_power_1_60min.csv,10.706721305847168,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",13.941532258064516,60,No Issue
24,50,50_ac_power_2.csv,598.0040035247803,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,1,No Issue
25,50,50_ac_power_2_15min.csv,34.650712728500366,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,No Issue
26,50,50_ac_power_2_30min.csv,16.348299741744995,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",15.0,30,No Issue
27,50,50_ac_power_2_60min.csv,9.09198522567749,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",13.941532258064516,60,No Issue
28,50,50_ac_power_2_60min_random_time_shifts.csv,10.366418600082397,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",15.211693548387096,60,Random Time Shifts
29,50,50_ac_power_60min_random_time_shifts.csv,13.183933973312378,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",12.883064516129032,60,Random Time Shifts
30,50,50_ac_power_60min.csv,9.885443210601807,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",13.941532258064516,60,No Issue
31,1229,1229_poa_irradiance_west_array_60min.csv,13.181412696838379,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,60,No Issue
32,1229,1229_gh_irradiance_15min.csv,50.77135729789734,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,No Issue
33,1229,1229_gh_irradiance_30min.csv,24.83160376548767,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,No Issue
34,1229,1229_gh_irradiance_60min.csv,14.268895626068115,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,60,No Issue
35,1229,1229_poa_irradiance_15min.csv,48.397486209869385,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,No Issue
36,1229,1229_poa_irradiance_30min.csv,24.948834896087646,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,No Issue
37,1229,1229_poa_irradiance_60min.csv,14.745826244354248,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,60,No Issue
38,1229,1229_poa_irradiance_south_array_15min.csv,49.68852996826172,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,No Issue
39,1229,1229_poa_irradiance_south_array_30min.csv,25.149044513702393,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,No Issue
40,1229,1229_poa_irradiance_south_array_60min.csv,14.14261794090271,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,60,No Issue
41,1229,1229_poa_irradiance_west_array_15min.csv,46.037270307540894,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,No Issue
42,1229,1229_poa_irradiance_west_array_30min.csv,22.053478002548218,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,No Issue
43,1229,1229_poa_irradiance_west_array_30min_partial_DST.csv,24.50466227531433,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.18532818532818532,30,Partial DST
44,1229,1229_poa_irradiance_west_array_15min_wrong_timezone.csv,46.35543656349182,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,Wrong Timezone
45,1229,1229_poa_irradiance_south_array_60min_wrong_timezone.csv,12.530768632888794,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,60,Wrong Timezone
46,1229,1229_poa_irradiance_south_array_30min_random_time_shifts.csv,21.880296230316162,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,Random Time Shifts
47,1229,1229_poa_irradiance_south_array_15min_random_time_shifts.csv,42.61737036705017,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.011583011583011582,15,Random Time Shifts
48,1229,1229_poa_irradiance_south_array_full_DST.csv,41.356683015823364,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.37065637065637064,15,Full DST
49,1229,1229_poa_irradiance_60min_wrong_timezone.csv,10.77398943901062,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,60,Wrong Timezone
50,1229,1229_poa_irradiance_30min_wrong_timezone.csv,19.2072114944458,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,30,Wrong Timezone
51,1229,1229_poa_irradiance_15min_random_time_shifts.csv,37.76782274246216,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.18532818532818532,15,Random Time Shifts
52,1229,1229_poa_irradiance_random_time_shifts.csv,42.43992233276367,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.011583011583011582,15,Random Time Shifts
53,1229,1229_gh_irradiance_60min_random_time_shifts.csv,10.847017765045166,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.277992277992278,60,Random Time Shifts
54,1229,1229_gh_irradiance_30min_random_time_shifts.csv,20.605677843093872,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.44015444015444016,30,Random Time Shifts
55,1229,1229_gh_irradiance_15min_random_time_shifts.csv,42.68475604057312,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.05791505791505792,15,Random Time Shifts
56,1229,1229_poa_irradiance_west_array_full_DST.csv,42.196202516555786,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.138996138996139,15,Full DST
57,1229,1229_poa_irradiance_west_array_60min_random_time_shifts.csv,11.308561563491821,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",11.328185328185327,60,Random Time Shifts
58,1229,1229_gh_irradiance_random_time_shifts.csv,42.37387180328369,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.138996138996139,15,Random Time Shifts
59,1332,1332_inv3_ac_power__2650_15min.csv,17.747118949890137,"['time_series', 'latitude', 'longitude', 'data_sampling_frequency']",0.0,15,No Issue
